Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Coffee Bean,кофейня,Кофейни; Продажа кофе; Кондитерские изделия,"Молодогвардейская улица, 217",1 этаж,443100,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 09:00-23:00,+04:00,3.9,76,88462027707,,,,http://coffeebean.ru/adresa/samara-sadovaya,http://taplink.cc/coffeebeansmr,,,https://vk.com/coffeebeansmr,,,,,,,,53.206672,50.121293,https://2gis.com/firm/70000001032971208,branch
Белая черешня,кафе-кондитерская,Кофейни; Кафе-кондитерские; Кафе; Доставка еды; Кулинарии,"Агибалова улица, 68",1 этаж,443041,,Железнодорожный район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+04:00,4.6,165,88462075068,,,,http://t.me/whitecherry163,http://whitechery.ru,,,https://vk.com/whitecherry63,https://wa.me/79171686850,,,,,,,53.19127,50.120609,https://2gis.com/firm/70000001058836323,branch
Моменты сладости,кафе-кондитерская,Кофейни; Кафе-кондитерские; Кондитерские изделия,"улица Ново-Садовая, 5",1 этаж,443110,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+04:00,5.0,28,89276008200,,,,,,,,https://vk.com/momenty_sladosti,https://wa.me/79276008200,,viber://chat/?number=79276008200,,,,,53.206406,50.127928,https://2gis.com/firm/70000001067950575,branch
Кэрри,кафе,Кофейни; Кафе-кондитерские,"улица Дыбенко, 30",2 этаж,443045,,Советский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+04:00,4.3,327,88462036006,,,,http://carriecafe.ru,,,,https://vk.com/carrie_cafe,,,,,https://t.me/carrie_cafe,,,53.207016,50.196217,https://2gis.com/firm/70000001027327015,branch
Комод,кофейня,Кофейни; Кондитерские изделия,"Галактионовская, 130",1 этаж,443001,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 07:30-23:00; Вт: 07:30-23:00; Ср: 07:30-23:00; Чт: 07:30-23:00; Пт: 07:30-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+04:00,3.8,211,89272655656,,,,http://komodkafe.ru,,,,https://vk.com/komod_samara,https://wa.me/79272655656,,,,https://t.me/+79272655656,,,53.201163,50.110878,https://2gis.com/firm/70000001030261826,branch
Balance coffee,кофейня,Кофейни,"Куйбышева, 68/70",,443099,,Самарский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 06:55-00:05; Вт: 06:55-00:05; Ср: 06:55-00:05; Чт: 06:55-00:05; Пт: 06:55-00:05; Сб: 07:55-00:05; Вс: 07:55-00:05,+04:00,4.0,11,,,,,,,,,,,,,,,,,53.186627,50.088106,https://2gis.com/firm/70000001088895774,branch
Корж,кофейня,Кофейни; Доставка еды; Кондитерские изделия,"улица Революционная, 101в к1",1 этаж,443079,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 07:30-22:00; Вт: 07:30-22:00; Ср: 07:30-22:00; Чт: 07:30-22:00; Пт: 07:30-22:00; Сб: 07:30-22:00; Вс: 07:30-22:00,+04:00,4.6,151,88462557707,,,,http://korzhcoffee.ru,,,https://twitter.com/korzh_real,https://vk.com/korzh_coffee,,,,,,,,53.205817,50.177727,https://2gis.com/firm/70000001079219341,branch
Дринкит,кофейня,Кофейни,"Ленинградская улица, 29",1 этаж,443099,,Самарский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+04:00,4.8,230,89649839378,,,,http://drinkit.ru/samara,,,,https://vk.com/drinkitsamara,https://wa.me/79649839378,,,,https://t.me/drinkit_business,,,53.187672,50.089937,https://2gis.com/firm/70000001051210908,branch
Алиса в стране чудес,кофейня,Кофейни; Продажа кофе; Кондитерские изделия; Кафе-кондитерские,"Куйбышева, 117",1 этаж,443099,,Самарский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:30; Сб: 08:30-22:30; Вс: 09:00-22:00,+04:00,4.7,168,89277352018,,,,http://samarawonderland.tilda.ws,,,,https://vk.com/samarawonderland,,,,,https://t.me/wonderlandsamara,,,53.189921,50.090685,https://2gis.com/firm/70000001031956902,branch
Эклерная,,Кофейни; Доставка еды; Кондитерские изделия; Хлебобулочные изделия; Кафе-кондитерские,"Садовая, 137",1 этаж,443041,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+04:00,4.3,290,88462265200 (единая справочная: пн-вс 9:00-22:00),,,,http://eclernaya.ru,,,,https://vk.com/eclernaya,,,,,,,,53.191649,50.10724,https://2gis.com/firm/70000001030673746,branch
Корж,кофейня,Кофейни; Доставка еды,"Дачная, 2 к1",1 этаж,443013,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 07:30-22:00; Вт: 07:30-22:00; Ср: 07:30-22:00; Чт: 07:30-22:00; Пт: 07:30-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+04:00,4.8,122,88462557707,,,,http://korzhcoffee.ru,,,https://twitter.com/korzh_real,https://vk.com/korzh_coffee,,,,,,,,53.202006,50.140534,https://2gis.com/firm/70000001045453045,branch
Skuratov Coffee,,Кофейни,"Первомайская, 29",1 этаж,443100,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 06:55-23:05; Вт: 06:55-23:05; Ср: 06:55-23:05; Чт: 06:55-23:05; Пт: 06:55-23:05; Сб: 06:55-23:05; Вс: 06:55-23:05,+04:00,4.7,170,89277670807,,,,http://skuratovcoffee.ru,,,https://twitter.com/skuratovcoffee,https://vk.com/skuratovcoffee,,,,,https://t.me/skuratovcoffee,,https://youtube.com/channel/UCPwTlxfJslgT5OwKKnMRDrA,53.206841,50.126321,https://2gis.com/firm/70000001043589620,branch
Тепло,кафе,Кофейни; Доставка еды; Кафе,"улица Мичурина, 118а",1 этаж,443068,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+04:00,4.2,185,88462026861,,,,http://teplo063.ru,,,,https://vk.com/teplo063,,,,,https://t.me/teplo_samara,,,53.212292,50.158126,https://2gis.com/firm/70000001057652541,branch
Skuratov Coffee,,Кофейни,"Самарская улица, 190",1 этаж,443100,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 06:55-23:05; Вт: 06:55-23:05; Ср: 06:55-23:05; Чт: 06:55-23:05; Пт: 06:55-23:05; Сб: 06:55-23:05; Вс: 06:55-23:05,+04:00,4.7,112,89376523348,,,,http://skuratovcoffee.ru,,,https://twitter.com/skuratovcoffee,https://vk.com/skuratovcoffee,,,,,https://t.me/skuratovcoffee,,https://youtube.com/channel/UCPwTlxfJslgT5OwKKnMRDrA,53.201503,50.113814,https://2gis.com/firm/70000001062410566,branch
Кэрри,кафе,Кофейни; Кафе-кондитерские,"улица Ново-Садовая, 160м",1 этаж,443068,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00 (служба доставки: пн-чт 12:00-00:00; пт-сб 12:00-1:00),+04:00,4.5,511,88462020550,,,,http://carriecafe.ru,,,,https://vk.com/carrie_cafe,,,,,https://t.me/carrie_cafe,,,53.224527,50.168976,https://2gis.com/firm/70000001070543566,branch
Конфитюр,кофейня,Кофейни; Доставка еды,"Льва Толстого, 57",1 этаж,443010,,Самарский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-23:00; Сб: 10:00-23:00; Вс: 10:00-22:00,+04:00,4.0,141,88463327210,,,,http://конфитюр-самара.рф,,,,https://vk.com/konfitur.samara,,,,,,,,53.190768,50.099063,https://2gis.com/firm/2533803071417917,branch
Дринкит,кофейня,Кофейни,"Московское шоссе, 41",1 этаж,443080,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 07:30-22:00; Вт: 07:30-22:00; Ср: 07:30-22:00; Чт: 07:30-22:00; Пт: 07:30-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+04:00,4.6,17,89649839378,,,,http://t.me/drinkit_business,,,,https://vk.com/drinkitsamara,https://wa.me/79649839378,,,,https://t.me/drinkit_business,,,53.221951,50.190836,https://2gis.com/firm/70000001090553982,branch
Bon matin,кондитерская,Кофейни; Кондитерские изделия; Доставка еды; Кафе-кондитерские,"5-я просека, 119",1 этаж,443124,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+04:00,4.4,116,89170339711,,,,http://www.bon-matin.ru,,,,https://vk.com/bon_matin_smr,,,,,https://t.me/+79170339711,,,53.240907,50.182962,https://2gis.com/firm/70000001047837349,branch
Корж,кофейня,Кофейни; Доставка еды,"улица Ново-Садовая, 106Б",1 этаж,443068,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 07:30-22:00; Вт: 07:30-22:00; Ср: 07:30-22:00; Чт: 07:30-22:00; Пт: 07:30-22:00; Сб: 07:30-22:00; Вс: 07:30-22:00,+04:00,4.8,230,88462557707,,,,http://korzhcoffee.ru,,,https://twitter.com/korzh_real,https://vk.com/korzh_coffee,,,,,,,,53.219922,50.155685,https://2gis.com/firm/70000001027391770,branch
Muwa,кофейня-кондитерская,Кофейни; Кондитерские изделия; Продажа кофе,"Чапаевская, 92",1 этаж,443099,,Самарский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+04:00,5.0,130,89959092868,,,,,,,,,,,,,https://t.me/muwacoffee,,,53.186024,50.092795,https://2gis.com/firm/70000001054245974,branch
Skuratov Coffee,,Кофейни; Продажа кофе,"Красноармейская улица, 133",1 этаж,443030,,Железнодорожный район,Самара,Самара городской округ,Самарская область,Россия,Пн: 06:55-23:05; Вт: 06:55-23:05; Ср: 06:55-23:05; Чт: 06:55-23:05; Пт: 06:55-23:05; Сб: 06:55-23:05; Вс: 06:55-23:05,+04:00,4.7,169,89277738988,,,,http://skuratovcoffee.ru,,,https://twitter.com/skuratovcoffee,https://vk.com/skuratovcoffee,,,,,https://t.me/skuratovcoffee,,https://youtube.com/channel/UCPwTlxfJslgT5OwKKnMRDrA,53.187755,50.125661,https://2gis.com/firm/70000001052366972,branch
Skuratov Coffee,,Кофейни,"Молодогвардейская улица, 80",,443099,,Самарский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 06:55-23:05; Вт: 06:55-23:05; Ср: 06:55-23:05; Чт: 06:55-23:05; Пт: 06:55-23:05; Сб: 06:55-23:05; Вс: 06:55-23:05,+04:00,4.5,57,89083880964,,,,http://skuratovcoffee.ru,,,https://twitter.com/skuratovcoffee,https://vk.com/skuratovcoffee,,,,,https://t.me/skuratovcoffee,,https://youtube.com/channel/UCPwTlxfJslgT5OwKKnMRDrA,53.187065,50.096195,https://2gis.com/firm/70000001063379108,branch
Корж,кофейня,Кофейни; Доставка еды; Кафе-кондитерские,"Льва Толстого, 30Б",1 этаж,443010,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 07:30-22:00; Вт: 07:30-22:00; Ср: 07:30-22:00; Чт: 07:30-22:00; Пт: 07:30-22:00; Сб: 07:30-22:00; Вс: 07:30-22:00,+04:00,4.7,136,88462557707,,,,http://korzhcoffee.ru,,,https://twitter.com/korzh_real,https://vk.com/korzh_coffee,,,,,,,,53.192082,50.095506,https://2gis.com/firm/70000001052357057,branch
Skuratov Coffee,,Кофейни; Продажа кофе,"Куйбышева, 68/70",1 этаж,443099,,Самарский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 06:55-23:05; Вт: 06:55-23:05; Ср: 06:55-23:05; Чт: 06:55-23:05; Пт: 06:55-23:05; Сб: 06:55-23:05; Вс: 06:55-23:05,+04:00,4.7,175,89372028288,,,,http://skuratovcoffee.ru,,,https://twitter.com/skuratovcoffee,https://vk.com/skuratovcoffee,,,,,https://t.me/skuratovcoffee,,https://youtube.com/channel/UCPwTlxfJslgT5OwKKnMRDrA,53.186757,50.088193,https://2gis.com/firm/70000001036538224,branch
Толстой,кофейня,Кофейни; Кондитерские изделия; Продажа кофе,"Некрасовская, 63",1 этаж,443099,,Самарский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:30-20:30; Вт: 08:30-20:30; Ср: 08:30-20:30; Чт: 08:30-20:30; Пт: 08:30-20:30; Сб: 08:30-20:30; Вс: 08:30-20:30,+04:00,4.7,84,89270088202,,,,http://t.me/tolstoy_coffee,,,,https://vk.com/tolstoy_coffee,https://wa.me/79270088202,,,,https://t.me/+79270088202,,,53.18822,50.098804,https://2gis.com/firm/70000001031751041,branch
Yeti,кафе,Кофейни; Кафе,"Молодогвардейская улица, 90",1 этаж,443099,,Самарский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+04:00,4.4,38,89377974723,,,,http://t.me/yetidrink,,,,,https://wa.me/79377974723,,,,,,,53.187745,50.096657,https://2gis.com/firm/70000001078718241,branch
Корж,кофейня,Кофейни,"Ульяновская, 19",1 этаж,443001,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 07:30-22:00; Вт: 07:30-22:00; Ср: 07:30-22:00; Чт: 07:30-22:00; Пт: 07:30-22:00; Сб: 07:30-22:00; Вс: 07:30-22:00 (служба доставки: пн-вс 14:00-22:00),+04:00,4.8,161,88462557707,,,,http://korzhcoffee.ru,,,https://twitter.com/korzh_real,https://vk.com/korzh_coffee,,,,,,,,53.199667,50.105873,https://2gis.com/firm/70000001033411071,branch
Bon matin,кондитерская,Кофейни; Кафе-кондитерские,"улица Физкультурная, 103а",,443009,Безымянка м-н,Промышленный район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+04:00,5.0,12,89170339711,,,,http://www.bon-matin.ru,,,,https://vk.com/bon_matin_smr,,,,,https://t.me/+79170339711,,,53.214644,50.261609,https://2gis.com/firm/70000001093805196,branch
Корж,кофейня,Кофейни; Доставка еды,"9-я просека 5-я линия, 1г",,443031,Барбошина поляна,Кировский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 07:30-22:00; Вт: 07:30-22:00; Ср: 07:30-22:00; Чт: 07:30-22:00; Пт: 07:30-22:00; Сб: 07:30-22:00; Вс: 07:30-22:00,+04:00,4.4,100,88462557707,,,,http://korzhcoffee.ru,,,https://twitter.com/korzh_real,https://vk.com/korzh_coffee,,,,,,,,53.274908,50.191557,https://2gis.com/firm/70000001074923618,branch
Colors cafe,кафе,Кофейни; Кафе-кондитерские; Доставка еды; Кондитерские изделия,"Рабочая, 15",1 этаж,443010,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+04:00,4.7,118,88462020700,,,,,,,,https://vk.com/colorscafe,,,,,,,,53.194505,50.105529,https://2gis.com/firm/70000001055891872,branch
Else,кафе,Кофейни; Кафе,"Садовая, 176",1 этаж,443001,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+04:00,4.1,60,89179485221,,,,http://elsecoffee.2gis.biz,http://t.me/elsecoffeebrut,,,https://vk.com/public219094210,https://wa.me/79179485221,,viber://chat/?number=79179485221,,,,,53.196188,50.109692,https://2gis.com/firm/70000001068929359,branch
Lumos barista lab,,Кофейни; Продажа кофе; Кондитерские изделия; Хлебобулочные изделия,"улица Революционная, 3",,443086,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+04:00,3.9,60,89649856819,,,,http://lumosbaristalab.com,,,,,https://wa.me/79649856819,,,,https://t.me/+79649856819,,,53.216788,50.162462,https://2gis.com/firm/70000001052308703,branch
Surf Coffee x Pool,кофейня,Кофейни; Доставка еды; Продажа кофе,"Полевая, 54",1 этаж,443100,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+04:00,4.7,96,89918377183,88007772407,88462050702,,http://www.surfcoffee.ru,,,,https://vk.com/surfcoffee,,,,,https://t.me/surfcoffee_info,,,53.206909,50.122066,https://2gis.com/firm/70000001047142182,branch
Skuratov Coffee,,Кофейни,"Максима Горького, 129",,443099,,Самарский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 06:55-23:05; Вт: 06:55-23:05; Ср: 06:55-23:05; Чт: 06:55-23:05; Пт: 06:55-23:05; Сб: 06:55-23:05; Вс: 06:55-23:05,+04:00,4.0,4,89272197469,,,,http://skuratovcoffee.ru,,,https://twitter.com/skuratovcoffee,https://vk.com/skuratovcoffee,,,,,https://t.me/skuratovcoffee,,https://youtube.com/channel/UCPwTlxfJslgT5OwKKnMRDrA,53.19319,50.087999,https://2gis.com/firm/70000001094239079,branch
White cup,кофейня,Кофейни; Кондитерские изделия; Питьевая вода,"Фрунзе, 159",,443010,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+04:00,4.4,25,89372355715,,,,,,,,https://vk.com/white_cup,,,,,,,,53.194286,50.096578,https://2gis.com/firm/70000001080292697,branch
Bibi.Rest,кафе,Кофейни; Кафе,"Садовая, 251",1 этаж,443001,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:30-22:00; Вт: 09:30-22:00; Ср: 09:30-22:00; Чт: 09:30-22:00; Пт: 09:30-22:00; Сб: 09:30-22:00; Вс: 09:30-22:00,+04:00,4.6,65,89050178517,,,bibirest@yandex.ru,,,,,,https://wa.me/79050178517,,viber://chat/?number=79050178517,,,,,53.200065,50.115933,https://2gis.com/firm/70000001084342559,branch
Komkofe,кофейня,Кофейни,"Мориса Тореза, 103",,443074,,Советский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+04:00,4.7,120,89272959994,,,,,,,,https://vk.com/club215904542,https://wa.me/79272959994,,viber://chat/?number=79272959994,,,,,53.196085,50.200607,https://2gis.com/firm/70000001066924397,branch
Коза,кофейня,Кофейни,"улица Революционная, 70е",1 этаж,443045,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+04:00,4.8,29,89371722111,,,,http://t.me/kozacoffee,,,,,https://wa.me/79959332810,,,,https://t.me/+79371722111,,,53.207664,50.17808,https://2gis.com/firm/70000001080323597,branch
